Well_ID,Depth_m,Formation,GR_API,NPHI_frac,RHOB_gcc,RT_ohmm,SW_frac
Well_A,2000.0,Shale_Cap,138.0,0.142,2.512,3.78,0.977
Well_A,2000.5,Shale_Cap,131.9,0.041,2.467,4.67,0.953
Well_A,2001.0,Shale_Cap,130.6,0.169,2.46,3.62,0.986
Well_A,2001.5,Shale_Cap,128.3,0.107,2.51,5.52,0.927
Well_A,2002.0,Shale_Cap,120.5,0.162,2.46,2.39,0.98
Well_A,2002.5,Shale_Cap,107.4,0.109,2.459,3.53,0.969
Well_A,2003.0,Shale_Cap,,0.143,2.463,3.43,0.929
Well_A,2003.5,Shale_Cap,116.5,0.154,2.533,3.8,0.955
Well_A,2004.0,Shale_Cap,129.6,0.12,2.544,3.48,0.951
Well_A,2004.5,Shale_Cap,114.0,0.144,2.522,2.52,0.918
Well_A,2005.0,Shale_Cap,,0.124,2.593,4.82,0.934
Well_A,2005.5,Shale_Cap,129.1,0.156,2.521,,0.914
Well_A,2006.0,Shale_Cap,139.2,0.097,2.53,2.38,0.964
Well_A,2006.5,Shale_Cap,126.2,0.048,2.52,3.3,0.964
Well_A,2007.0,Shale_Cap,99.6,0.178,,3.59,0.923
Well_A,2007.5,Shale_Cap,130.1,0.168,2.468,3.34,0.978
Well_A,2008.0,Shale_Cap,123.9,0.096,2.53,5.62,0.923
Well_A,2008.5,Shale_Cap,124.4,0.152,2.524,3.2,0.968
Well_A,2009.0,Shale_Cap,112.5,0.192,2.48,4.45,0.992
Well_A,2009.5,Shale_Cap,112.6,0.083,2.476,2.97,
Well_A,2010.0,Shale_Cap,119.0,0.123,2.548,4.68,0.902
Well_A,2010.5,Shale_Cap,131.5,0.099,2.455,4.57,0.946
Well_A,2011.0,Shale_Cap,110.6,0.105,2.557,,
Well_A,2011.5,Shale_Cap,120.6,0.081,2.523,3.66,0.974
Well_A,2012.0,Reservoir_1,39.1,0.356,2.21,145.94,0.176
Well_A,2012.5,Reservoir_1,26.9,0.242,,196.71,0.195
Well_A,2013.0,Reservoir_1,50.8,0.198,2.136,106.85,0.05
Well_A,2013.5,Reservoir_1,54.3,0.339,2.155,130.49,0.207
Well_A,2014.0,Reservoir_1,51.0,0.315,2.183,914.01,0.154
Well_A,2014.5,Reservoir_1,,0.301,2.199,219.84,0.216
Well_A,2015.0,Reservoir_1,48.9,0.318,2.228,155.79,0.298
Well_A,2015.5,Reservoir_1,32.0,0.344,2.202,213.08,
Well_A,2016.0,Reservoir_1,,0.229,2.251,93.67,0.158
Well_A,2016.5,Reservoir_1,39.8,0.18,2.315,471.83,0.216
Well_A,2017.0,Reservoir_1,35.7,0.303,2.202,164.8,0.214
Well_A,2017.5,Reservoir_1,44.4,0.289,2.161,79.18,0.295
Well_A,2018.0,Reservoir_1,38.7,0.277,2.141,86.15,0.207
Well_A,2018.5,Reservoir_1,35.6,0.294,2.188,116.51,0.202
Well_A,2019.0,Reservoir_1,36.2,0.322,2.176,557.12,0.298
Well_A,2019.5,Reservoir_1,27.8,0.239,2.29,55.43,0.061
Well_A,2020.0,Reservoir_1,48.7,0.364,2.166,162.92,0.19
Well_A,2020.5,Reservoir_1,48.0,0.324,2.013,190.68,0.151
Well_A,2021.0,Reservoir_1,,0.23,2.195,108.6,0.17
Well_A,2021.5,Reservoir_1,24.2,0.225,,,0.351
Well_A,2022.0,Reservoir_1,36.3,,2.129,57.42,0.166
Well_A,2022.5,Reservoir_1,41.2,0.26,2.137,168.35,0.173
Well_A,2023.0,Reservoir_1,31.7,0.226,2.152,67.68,0.151
Well_A,2023.5,Reservoir_1,41.1,0.265,2.193,347.9,0.292
Well_A,2024.0,Reservoir_1,19.9,0.285,2.141,110.86,0.289
Well_A,2024.5,Reservoir_1,41.2,0.273,2.171,126.47,0.117
Well_A,2025.0,Reservoir_1,36.5,0.325,2.141,125.33,0.302
Well_A,2025.5,Reservoir_1,57.6,0.195,2.161,57.37,0.171
Well_A,2026.0,Reservoir_1,50.9,0.281,2.176,,0.308
Well_A,2026.5,Reservoir_1,31.6,0.269,2.199,92.63,0.232
Well_A,2027.0,Reservoir_1,36.1,0.271,2.116,102.1,0.389
Well_A,2027.5,Reservoir_1,33.7,0.26,2.188,132.35,0.151
Well_A,2028.0,Reservoir_1,31.4,0.248,2.177,36.85,0.244
Well_A,2028.5,Reservoir_1,33.8,0.283,2.172,129.52,0.126
Well_A,2029.0,Reservoir_1,,0.29,2.127,62.88,0.055
Well_A,2029.5,Reservoir_1,35.1,0.269,2.2,7.99,0.05
Well_A,2030.0,Reservoir_1,47.3,0.315,2.187,36.35,0.207
Well_A,2030.5,Reservoir_1,56.4,0.287,2.162,77.98,0.104
Well_A,2031.0,Reservoir_1,40.3,0.377,,,0.259
Well_A,2031.5,Reservoir_1,22.8,0.305,2.18,44.75,0.223
Well_A,2032.0,Reservoir_1,55.9,0.26,2.105,,0.154
Well_A,2032.5,Reservoir_1,48.6,0.267,2.244,110.85,0.167
Well_A,2033.0,Reservoir_1,40.7,0.271,2.121,112.02,0.133
Well_A,2033.5,Reservoir_1,21.8,0.286,2.182,436.63,0.144
Well_A,2034.0,Reservoir_1,,0.24,2.223,237.71,0.243
Well_A,2034.5,Reservoir_1,57.6,0.335,2.154,211.01,0.197
Well_A,2035.0,Reservoir_1,38.8,0.238,2.178,489.0,0.168
Well_A,2035.5,Reservoir_1,21.7,0.264,2.176,,0.173
Well_A,2036.0,Reservoir_1,,0.35,2.21,128.83,0.192
Well_A,2036.5,Reservoir_1,19.5,0.36,,86.69,0.342
Well_A,2037.0,Reservoir_1,45.8,,2.103,167.5,0.17
Well_A,2037.5,Reservoir_1,59.7,0.285,,131.39,0.315
Well_A,2038.0,Reservoir_1,40.6,0.229,2.066,141.89,0.16
Well_A,2038.5,Reservoir_1,,0.323,2.189,310.36,0.174
Well_A,2039.0,Reservoir_1,10.1,0.254,2.196,,0.212
Well_A,2039.5,Reservoir_1,44.9,0.232,2.187,220.28,0.206
Well_A,2040.0,Reservoir_1,59.5,0.242,2.194,112.01,0.244
Well_A,2040.5,Reservoir_1,34.3,0.314,2.217,,0.159
Well_A,2041.0,Reservoir_1,27.3,0.289,2.197,301.26,0.292
Well_A,2041.5,Reservoir_1,,0.292,2.202,358.11,0.129
Well_A,2042.0,Transition,72.9,0.137,2.503,16.06,0.576
Well_A,2042.5,Transition,61.5,0.144,2.361,28.42,0.741
Well_A,2043.0,Transition,89.4,0.176,2.34,,0.673
Well_A,2043.5,Transition,78.0,0.17,2.416,7.95,0.564
Well_A,2044.0,Transition,74.5,0.225,2.382,19.5,0.754
Well_A,2044.5,Transition,73.1,0.153,2.317,5.34,0.702
Well_A,2045.0,Transition,82.3,0.228,2.356,,0.54
Well_A,2045.5,Transition,85.6,0.159,2.348,6.71,0.648
Well_A,2046.0,Transition,85.1,0.179,2.327,6.6,0.72
Well_A,2046.5,Transition,80.8,0.167,2.328,13.88,0.751
Well_A,2047.0,Transition,71.1,0.169,2.38,6.02,0.718
Well_A,2047.5,Transition,88.2,0.11,2.4,3.31,
Well_A,2048.0,Transition,88.7,0.193,2.368,27.39,0.602
Well_A,2048.5,Transition,66.1,0.18,2.351,9.82,
Well_A,2049.0,Transition,,0.127,2.389,6.41,0.786
Well_A,2049.5,Transition,62.4,0.193,2.406,17.21,0.625
Well_A,2050.0,Transition,,0.185,2.385,34.1,0.727
Well_A,2050.5,Transition,82.0,,2.315,9.53,0.735
Well_A,2051.0,Transition,91.3,0.209,2.359,12.06,0.577
Well_A,2051.5,Transition,58.7,0.186,2.388,14.62,0.594
Well_A,2052.0,Reservoir_2,39.6,0.216,2.175,54.92,0.18
Well_A,2052.5,Reservoir_2,55.4,0.307,2.258,90.78,0.169
Well_A,2053.0,Reservoir_2,38.8,0.247,2.191,74.98,0.238
Well_A,2053.5,Reservoir_2,49.3,0.277,2.179,386.16,0.357
Well_A,2054.0,Reservoir_2,52.7,0.279,,129.16,0.267
Well_A,2054.5,Reservoir_2,,0.269,2.209,280.0,0.412
Well_A,2055.0,Reservoir_2,62.9,0.235,2.276,94.81,0.344
Well_A,2055.5,Reservoir_2,40.7,0.322,2.26,61.51,0.381
Well_A,2056.0,Reservoir_2,39.5,0.232,2.25,41.43,0.229
Well_A,2056.5,Reservoir_2,45.4,0.249,2.3,88.01,0.373
Well_A,2057.0,Reservoir_2,33.2,0.239,2.272,30.67,0.322
Well_A,2057.5,Reservoir_2,36.1,0.197,2.137,103.32,0.146
Well_A,2058.0,Reservoir_2,40.0,0.307,2.259,108.65,0.264
Well_A,2058.5,Reservoir_2,44.4,0.288,2.166,424.2,0.314
Well_A,2059.0,Reservoir_2,39.4,0.212,2.256,97.65,0.243
Well_A,2059.5,Reservoir_2,25.1,0.316,2.274,,0.182
Well_A,2060.0,Reservoir_2,51.7,,2.189,137.38,0.313
Well_A,2060.5,Reservoir_2,55.1,0.281,2.131,54.52,0.184
Well_A,2061.0,Reservoir_2,55.0,0.206,2.169,75.11,0.206
Well_A,2061.5,Reservoir_2,37.7,0.316,2.166,,0.255
Well_A,2062.0,Reservoir_2,65.9,0.311,2.265,43.87,0.246
Well_A,2062.5,Reservoir_2,39.2,0.181,2.25,100.65,0.341
Well_A,2063.0,Reservoir_2,51.1,0.231,2.141,62.92,0.275
Well_A,2063.5,Reservoir_2,31.6,0.206,2.307,266.72,
Well_A,2064.0,Reservoir_2,,0.291,2.193,74.33,0.285
Well_A,2064.5,Reservoir_2,44.3,0.326,2.197,93.33,0.198
Well_A,2065.0,Reservoir_2,52.5,0.258,2.26,25.36,0.191
Well_A,2065.5,Reservoir_2,40.3,0.195,2.101,35.69,0.367
Well_A,2066.0,Reservoir_2,45.5,0.317,2.145,161.82,0.29
Well_A,2066.5,Reservoir_2,40.4,0.19,2.185,111.16,0.324
Well_A,2067.0,Reservoir_2,61.5,0.215,2.242,,0.299
Well_A,2067.5,Reservoir_2,35.0,0.267,2.222,,0.181
Well_A,2068.0,Reservoir_2,49.8,,,73.96,0.205
Well_A,2068.5,Reservoir_2,36.7,0.3,2.168,,0.232
Well_A,2069.0,Reservoir_2,44.4,0.266,2.239,49.05,0.288
Well_A,2069.5,Reservoir_2,59.8,0.271,2.146,18.21,0.223
Well_A,2070.0,Reservoir_2,32.6,0.298,2.251,76.48,0.125
Well_A,2070.5,Reservoir_2,36.5,0.24,2.221,232.51,0.234
Well_A,2071.0,Reservoir_2,40.9,0.231,2.275,105.77,0.266
Well_A,2071.5,Reservoir_2,34.9,0.231,2.261,194.87,0.309
Well_A,2072.0,Reservoir_2,54.8,0.164,2.245,86.14,0.205
Well_A,2072.5,Reservoir_2,,0.29,2.219,110.53,0.38
Well_A,2073.0,Reservoir_2,39.3,0.232,2.148,,0.407
Well_A,2073.5,Reservoir_2,46.6,0.258,2.225,92.44,0.34
Well_A,2074.0,Reservoir_2,,0.252,2.213,80.58,0.247
Well_A,2074.5,Reservoir_2,40.0,0.22,2.196,307.76,0.306
Well_A,2075.0,Reservoir_2,40.9,0.284,2.24,96.07,0.3
Well_A,2075.5,Reservoir_2,69.9,0.352,2.22,82.49,0.334
Well_A,2076.0,Basement,66.2,0.057,2.752,1578.81,0.963
Well_A,2076.5,Basement,103.5,0.052,2.652,84.24,0.965
Well_A,2077.0,Basement,86.6,,2.658,1377.77,1.0
